human,mouse
CD40,Cd40
USP40,Usp40
RPP30,Rpp30
POLD1,Pold1
STT3B,Stt3b
EXOSC9,Exosc9
COMP,Comp
ZNF564,Zfp867
LRG1,Lrg1
PRELID3B,Prelid3b
TMEM52B,Tmem52b
MEIS3,Meis3
ZC2HC1C,Zc2hc1c
GBP2,Gbp2b
GBP2,Gbp2
LNP1,Lnp1
C20orf196,1110034G24Rik
BAIAP3,Baiap3
PRPF38A,Prpf38a
TMEM219,Tmem219
CCER1,Ccer1
C17orf49,0610010K14Rik
WNT1,Wnt1
PRMT1,Prmt1
CABIN1,Cabin1
RBM5,Rbm5
PMFBP1,Pmfbp1
NTF4,Ntf5
DGKD,Dgkd
HMGN1,Hmgn1
MGARP,Mgarp
KHDRBS1,Khdrbs1
PDDC1,Pddc1
SORBS3,Sorbs3
LRRC71,Lrrc71
ANKS3,Anks3
ATG4C,Atg4c
PYCARD,Pycard
TEP1,Tep1
KRTCAP2,Krtcap2
SKIV2L,Skiv2l
SHMT1,Shmt1
FAM175A,Fam175a
MUC6,Muc6
SLC35A5,Slc35a5
KYAT3,Kyat3
ZBTB43,Zbtb43
TRIM66,Trim66
OLFM1,Olfm1
PYGO1,Pygo1
HIP1,Hip1
AMPD3,Ampd3
GABRD,Gabrd
OLFM3,Olfm3
DUSP2,Dusp2
DMD,Dmd
SVIL,Svil
RBMS3,Rbms3
TMEM132E,Tmem132e
FAM156A,Tmem29
PHKA2,Phka2
IL2RB,Il2rb
NPRL3,Nprl3
YBX1,Ybx1
SRRM4,Srrm4
SENP1,Senp1
FGL1,Fgl1
PRSS1,Prss2
PRSS1,Prss3
PRSS1,Gm5771
PRSS1,Gm10334
PRSS1,Try10
PRSS1,Prss1
PRSS1,Try5
PRSS1,Try4
TRBV10-1,Trbv13-1
TRBV10-1,Trbv13-2
TRBV10-1,Trbv13-3
FBXO43,Fbxo43
DCAF12,Dcaf12
FAM89A,Fam89a
FOXS1,Foxs1
WFIKKN2,Wfikkn2
TMEM55A,Tmem55a
AP3B1,Ap3b1
DDX41,Ddx41
CPA4,Cpa4
PPRC1,Pprc1
CAPS2,Caps2
FAM170A,Fam170a
SPACA5,Spaca5
TSKS,Tsks
EARS2,Ears2
FAM110B,Fam110b
CDH7,Cdh7
CPSF4,Cpsf4
BUD31,Bud31
RFX4,Rfx4
SLC8B1,Slc8b1
BMT2,Bmt2
ELK1,Elk1
KRT16,Krt16
POLR2M,Polr2m
C8orf59,1810022K09Rik
LRRC3,Lrrc3
LRP3,Lrp3
UBAP2,Ubap2
ADCK1,Adck1
FAM65C,Fam65c
C10orf76,9130011E15Rik
CHRNB3,Chrnb3
AMPD2,Ampd2
C17orf67,Gm525
C11orf86,2010003K11Rik
TTC39C,Ttc39c
FERMT1,Fermt1
RGS7,Rgs7
OR5M9,Olfr1036
OR5M9,Olfr1034
SREBF2,Srebf2
CGGBP1,Cggbp1
RFC5,Rfc5
OR8K1,Olfr1046
CPB2,Cpb2
PCBD1,Pcbd1
TRAF3IP2,Traf3ip2
SFR1,Sfr1
EIF4A3,Eif4a3
TTC39A,Ttc39a
TMC6,Tmc6
POF1B,Pof1b
HMGA2,Hmga2
TPCN1,Tpcn1
TBATA,Tbata
ACSL1,Acsl1
CBX4,Cbx4
ADIPOR2,Adipor2
NEIL1,Neil1
C16orf70,D230025D16Rik
RCSD1,Rcsd1
SDK2,Sdk2
PPP1R16B,Ppp1r16b
CBX2,Cbx2
KISS1,Kiss1
UTP23,Utp23
PSMA2,Psma2
PTPRS,Ptprs
NR2E1,Nr2e1
ZFP41,Zfp41
SLC27A5,Slc27a5
EMP2,Emp2
ARHGAP19,Arhgap19
JAK1,Jak1
KATNBL1,Katnbl1
PRKAR1B,Prkar1b
GNG3,Gng3
DMRTA1,Dmrta1
CASP12,Casp12
MRPL4,Mrpl4
TRANK1,Trank1
DDX55,Ddx55
PPARGC1B,Ppargc1b
EMC7,Emc7
EEF1E1-BLOC1S5,Eef1e1
APBB2,Apbb2
NFKBIZ,Nfkbiz
SH3GLB2,Sh3glb2
USP17L1,Usp17ld
USP17L1,Usp17lb
USP17L1,Usp17la
USP17L1,Usp17le
USP17L1,Usp17lc
ATF7IP2,Atf7ip2
LY6D,Ly6d
CFAP157,Cfap157
RBM14,Rbm14
HHATL,Hhatl
GALNT5,Galnt5
DKK4,Dkk4
CNTN5,Cntn5
LAMA3,Lama3
MYLK3,Mylk3
G3BP2,G3bp2
ATG16L2,Atg16l2
RPS28,Gm10263
RPS28,Rps28
ILK,Ilk
MRLN,Mrln
RFTN1,Rftn1
RILPL2,Rilpl2
SBNO1,Sbno1
RGPD8,Ranbp2
STXBP6,Stxbp6
MBP,Mbp
CRYZL1,Cryzl1
CDHR3,Cdhr3
CTSF,Ctsf
TMEM176A,Tmem176a
KRT76,Krt76
AGTPBP1,Agtpbp1
HEPHL1,Hephl1
GGTLC3,Ggt1
MROH5,Mroh5
CPT2,Cpt2
S100A3,Gm42674
S100A3,S100a3
KCNJ2,Kcnj2
IMPG1,Impg1
CLU,Clu
TRIM24,Trim24
RPS15,Gm4775
RPS15,Rps15
DDR2,Ddr2
BAZ1A,Baz1a
DACT2,Dact2
KPNA2,Gm10184
KPNA2,Kpna2
C1orf54,BC028528
KRT77,Krt77
NCOA6,Ncoa6
SUSD1,Susd1
C22orf23,1700088E04Rik
GCSH,Gcsh
SPACA9,Spaca9
OXR1,Oxr1
THRA,Thra
RILPL1,Rilpl1
ISOC2,Isoc2b
ISOC2,Isoc2a
RRP36,Rrp36
HMGB4,Hmgb4
DONSON,Donson
CD300LG,Cd300lg
MSL2,Msl2
SLC29A1,Slc29a1
GRPEL2,Grpel2
CLIC3,Clic3
KIAA1614,BC034090
CHRNA10,Chrna10
DEFB116,Defb29
ANKRD49,Ankrd49
KDSR,Kdsr
PLIN3,Plin3
GTF2F1,Gtf2f1
S100A4,S100a4
CHSY1,Chsy1
ALG11,Alg11
CHCHD1,Chchd1
ACTN3,Actn3
GMCL1,Gmcl1
DHCR7,Dhcr7
EXOC6B,Exoc6b
TROVE2,Trove2
NPFF,Npff
CYP4F2,Cyp4f15
CYP4F2,Cyp4f40
CYP4F2,Cyp4f14
MED17,Med17
YAE1D1,Yae1d1
PFKL,Pfkl
MPC1,Mpc1
FAM90A26,Fam90a1b
FAM90A26,Fam90a1a
TSEN34,Tsen34
DEFB1,Defb1
GRK1,Grk1
C8G,C8g
AIM1,Aim1
ICMT,Icmt
B3GAT3,B3gat3
FOXD4L5,Foxd4
DEFB130,Defb47
CKAP5,Ckap5
ITGB3BP,Itgb3bp
BCL7B,Bcl7b
TRIM62,Trim62
NR2E3,Nr2e3
ABHD15,Abhd15
SPOCK3,Spock3
NUDT18,Nudt18
MRPL42,Mrpl42
LRPPRC,Lrpprc
LSM10,Lsm10
KCTD4,Kctd4
RP11-294C11.1,Olfr734
CLEC11A,Clec11a
MID1,Mid1
FZD9,Fzd9
PEX26,Pex26
EML3,Eml3
RGS2,Rgs2
SLC46A1,Slc46a1
EP300,Ep300
LMO2,Lmo2
FMOD,Fmod
CPSF3,Cpsf3
ST6GALNAC2,St6galnac2
GPC2,Gm43720
GPC2,Gpc2
TWISTNB,Twistnb
CLEC12B,Clec12b
HDAC4,Hdac4
ASNA1,Asna1
CCT5,Cct5
TP53RK,Trp53rkb
TP53RK,Trp53rka
TWIST2,Twist2
RFX7,Rfx7
LMNA,Lmna
WDR82,Wdr82
TACR1,Tacr1
IGKV4-1,Igkv8-16
IGKV4-1,Igkv8-28
IGKV4-1,Igkv8-18
IGKV4-1,Igkv8-30
IGKV4-1,Igkv8-26
IGKV4-1,Igkv8-21
IGKV4-1,Gm43218
IGKV4-1,Igkv8-34
IGKV4-1,Igkv8-27
IGKV4-1,Igkv8-19
IGKV4-1,Igkv7-33
APOB,Apob
DEFB113,Defb18
TRGC2,Tcrg-C4
TRGC2,Tcrg-C2
TRGC2,Tcrg-C3
TRGC2,Tcrg-C1
ZNF777,Zfp777
LHFPL3,Lhfpl3
ARIH2,Arih2
CD69,Cd69
KCNAB1,Kcnab1
POLR3E,Polr3e
SELENOW,Selenow
TPM1,Tpm1
SUN3,Sun3
PIK3R5,Pik3r5
CMTM8,Cmtm8
PPM1G,Ppm1g
SYT6,Syt6
PDE4D,Pde4d
KLRC2,Klrc2
KLRC2,Klrc1
KLRC2,Klrc3
SCAMP2,Scamp2
ULK4,Ulk4
MEIKIN,Meikin
GPX8,Gpx8
RGMA,Rgma
PUM2,Pum2
RBBP7,Rbbp7
AKAP11,Akap11
SLC29A2,Slc29a2
YKT6,Ykt6
UQCC1,Uqcc1
ARHGEF4,Arhgef4
CTPS1,Ctps
NUTF2,Nutf2
NUTF2,Nutf2-ps1
KIF3A,Kif3a
BRF1,Brf1
EXOC6,Exoc6
EZH2,Ezh2
THTPA,Thtpa
SCIMP,Scimp
ACTR10,Actr10
TRIM60,Trim60
SLC25A48,Slc25a48
NKIRAS1,Nkiras1
INO80B,Ino80b
RGS9,Rgs9
KLHDC8B,Klhdc8b
LRRC49,Lrrc49
MAP2K7,Map2k7
FAM76A,Fam76a
PATJ,Patj
PCLO,Pclo
HACE1,Hace1
SLC33A1,Slc33a1
CFC1B,Cfc1
RAB11FIP3,Rab11fip3
PET100,Pet100
CCL20,Ccl20
DERA,Dera
NPY2R,Npy2r
KHDRBS3,Khdrbs3
MRPS14,Mrps14
PGAM1,Pgam1
DHX40,Dhx40
NDUFAF6,Ndufaf6
TLE6,Tle6
CEBPA,Cebpa
C11orf58,1110004F10Rik
RP11-321E2.2,Taf11
TMEM247,Tmem247
ELAVL4,Elavl4
KRR1,Krr1
CNNM4,Cnnm4
CLUAP1,Cluap1
CLUAP1,Gm20695
FOXP2,Foxp2
TSTA3,Tsta3
PEG10,Peg10
RAB2A,Rab2a
SCAMP1,Scamp1
ASAH2,Asah2
TBX1,Tbx1
NGRN,Ngrn
SGCE,Sgce
C11orf57,AU019823
DSE,Dse
LIPJ,Lipo5
LIPJ,Lipo4
LIPJ,Lipo1
LIPJ,Lipo3
LIPJ,Lipo2
WDR34,Wdr34
RNLS,Rnls
CIB1,Cib1
RPL18A,Rpl18a
PHLDA3,Phlda3
KLHL8,Klhl8
SUDS3,Suds3
WBP2NL,Wbp2nl
HSD17B4,Hsd17b4
MAP4,Map4
TRBV11-3,Trbv14
TM2D3,Tm2d3
PARP6,Parp6
NDUFV1,Ndufv1
RP11-106M3.5,Celf6
MRPL38,Mrpl38
POLR2E,Polr2e
MARCH8,March8
FUT9,Fut9
WNT2,Wnt2
B3GNT4,B3gnt4
PYGM,Pygm
ATP1A4,Atp1a4
TNFRSF17,Tnfrsf17
ALOX5,Alox5
CDCA8,Cdca8
KIAA0232,D5Ertd579e
CEP78,Cep78
TMEM184B,Tmem184b
ZNF654,Zfp654
SLC26A10,Slc26a10
DNTT,Dntt
SERINC2,Serinc2
TREX2,Trex2
MOS,Mos
PHKB,Phkb
GPR152,Gpr152
RS1,Rs1
POLR2G,Polr2g
STMN3,Stmn3
CDRT4,Cdrt4
ZNF518A,Zfp518a
MAP2K2,Map2k2
CCDC175,Ccdc175
CA9,Car9
MESP1,Mesp1
KBTBD3,Kbtbd3
ACTR2,Actr2
CCNE1,Ccne1
MSANTD4,Msantd4
FBXL14,Fbxl14
MFN1,Mfn1
CASP1,Casp1
SLC16A10,Slc16a10
CEL,Cel
HRK,Hrk
CALY,Caly
UNK,Unk
ZNF185,Zfp185
HNRNPUL2,Hnrnpul2
GTF2H3,Gtf2h3
IGLC3,Iglc1
IGLC3,Iglc2
IGLC3,Igll1
IGLC3,Iglc4
IGLC3,Iglc3
XXcos-LUCA11.5,Cyb561d2
MAPK11,Mapk11
ZNF585B,Zfp27
SLK,Slk
TIMP2,Timp2
C12orf49,2410131K14Rik
CXorf65,Gm614
RCOR1,Rcor1
OR5AS1,Olfr1111
LRRC10,Lrrc10
TGS1,Tgs1
EXOSC3,Exosc3
MICALCL,RP23-386F15.2
MICALCL,Micalcl
NOL6,Nol6
PROP1,Prop1
PLCE1,Plce1
ZFP37,Zfp37
LIMS1,Lims1
BIRC3,Birc3
TMEM132C,Tmem132c
CTD-2313N18.7,Defb43
DOLK,Dolk
TPH2,Tph2
GTF2A2,Gtf2a2
EPHA2,Epha2
STXBP1,Stxbp1
VDAC1,Vdac1
NOM1,Nom1
HEPACAM2,Hepacam2
PAQR6,Paqr6
FOSB,Fosb
ADCK2,Adck2
ADCK2,Gm42420
SYNJ2BP-COX16,Gm20498
IRX3,Irx3
TRIM31,Trim31
C19orf67,1700067K01Rik
TRMT10C,Trmt10c
RAB11FIP5,Rab11fip5
UFM1,Ufm1
NOXRED1,Noxred1
PEX13,Pex13
OR4A15,Olfr1234
DAGLB,Daglb
DFNA5,Dfna5
TMED1,Tmed1
CDK13,Cdk13
DEPDC1B,Depdc1b
C4BPA,C4bp
ZC3H4,Zc3h4
MEI4,Mei4
RECQL5,Recql5
HTR1B,Htr1b
USP9X,Usp9x
SELENOS,Selenos
RASSF3,Rassf3
TICAM1,Ticam1
FN3KRP,Fn3krp
LAPTM5,Laptm5
NPY,Npy
RBM33,Rbm33
RIMKLB,Rimklb
OR4C45,Olfr1263
OR4C45,Olfr1262
OR4C45,Olfr1261
SLC30A5,Slc30a5
GIMAP8,Gimap8
MFSD2A,Mfsd2a
PSG8,Ceacam1
PSG8,Ceacam2
ZSCAN22,Zscan22
ADGRE5,Adgre5
GJB4,Gjb4
GJB3,Gjb3
ZNF397,Zfp397
IGLC2,Iglc1
IGLC2,Iglc2
IGLC2,Igll1
IGLC2,Iglc4
IGLC2,Iglc3
HMGN3,Hmgn3
FAM183A,Fam183b
ARHGEF19,Arhgef19
ISCA1,Isca1
ISCA1,AK157302
AKT3,Akt3
DEFB106B,Defb15
DEFB106B,Defb34
EDIL3,Edil3
NPC1L1,Npc1l1
UGT8,Ugt8a
NAT14,Nat14
IGLV4-3,Iglv3
DACT1,Dact1
CLOCK,Clock
CACNG2,Cacng2
SLC25A51,Slc25a51
SLC34A1,Slc34a1
ACOD1,Acod1
ZC3HAV1,Zc3hav1
SEPT9,Sept9
NPC2,Npc2
CATSPER4,Catsper4
MRPS21,Mrps21
RNF41,Rnf41
SCAI,Scai
EFTUD2,Eftud2
CYP11B2,Cyp11b2
CYP11B2,Cyp11b1
RBM4B,Rbm4b
ANKRD9,Ankrd9
RP11-561B11.2,1110008L16Rik
RASA3,Rasa3
OR5D14,Olfr1163
OR5D14,Olfr1162
CEP170,Cep170
DFFA,Dffa
TRUB1,Trub1
ORAI1,Orai1
OR4P4,OR4P4
NDUFB2,Ndufb2
TMEM236,Tmem236
ITGA4,Itga4
FOXC2,Foxc2
MORN2,Morn2
C15orf39,1700017B05Rik
OTOGL,Otogl
NEUROD1,Neurod1
IARS,Iars
SHISA7,Shisa7
DEFB124,Defb25
CASC4,Casc4
GIGYF2,Gigyf2
CCS,Ccs
CERS4,Cers4
GNS,Gns
NEK3,Nek3
KCNMB3,Kcnmb3
MKRN1,Mkrn1
MYL4,Myl4
BAP1,Bap1
PIK3C3,Pik3c3
SACM1L,Sacm1l
S100A6,S100a6
RNF2,Rnf2
NDUFAF1,Ndufaf1
SSH3,Ssh3
USP17L19,Usp17ld
USP17L19,Usp17lb
USP17L19,Usp17la
USP17L19,Usp17le
USP17L19,Usp17lc
CHRNA9,Chrna9
MXD3,Mxd3
USP17L17,Usp17ld
USP17L17,Usp17lb
USP17L17,Usp17la
USP17L17,Usp17le
USP17L17,Usp17lc
CAMK2D,Camk2d
PFDN1,Pfdn1
FOXF1,Foxf1
DDHD1,Ddhd1
WASF3,Wasf3
MINDY4,Fam188b
CLCNKA,Clcnkb
CLCNKA,Clcnka
IKBIP,Ikbip
GRIK1,Grik1
EFCAB7,Efcab7
GALNT14,Galnt14
KLHL3,Klhl3
PIAS1,Pias1
PDP2,Pdp2
DAPK3,Dapk3
SMIM11B,Smim11
STAM,Stam
GIT1,Git1
TTC9B,Ttc9b
MALSU1,Malsu1
SDSL,Sdsl
PFDN6,Pfdn6
MAPK8,Mapk8
WDR46,Wdr46
ZNF438,Zfp438
CSNK1G1,Csnk1g1
C19orf57,4930432K21Rik
CAPZA1,4933400A11Rik
PLEKHA2,Plekha2
SETD5,Setd5
TOP3B,Top3b
THUMPD3,Thumpd3
SARM1,Sarm1
SMYD4,Smyd4
MRPS26,Mrps26
HIGD1C,Higd1c
HIST1H2BF,Hist1h2bg
TAS2R10,Tas2r104
TAS2R10,Tas2r106
TAS2R10,Tas2r105
TAS2R10,Tas2r107
TAS2R10,Tas2r114
NBDY,2210013O21Rik
ARID4A,Arid4a
SCAMP3,Scamp3
DDX4,Ddx4
RRS1,Rrs1
DDX27,Ddx27
CPSF6,Cpsf6
PREX1,Prex1
CASP8AP2,Casp8ap2
UPK3B,Upk3b
PLEKHO1,Plekho1
GAREM2,Garem2
GRAMD1C,Gramd1c
IFITM10,Ifitm10
ADHFE1,Adhfe1
GCFC2,Gcfc2
FERD3L,Ferd3l
ZNF330,Zfp330
CHRNG,Chrng
ANGPTL6,Angptl6
COMMD6,Commd6
MYL10,Myl10
ANKRD61,Ankrd61
CRH,Crh
VWCE,Vwce
CD7,Cd7
QKI,Qk
SERP2,Serp2
PPP1R3D,Ppp1r3d
VPS13A,Vps13a
KRT6C,Gm5414
APOL4,Apol7e
APOL4,Apol9b
APOL4,Apol10b
APOL4,Apol8
APOL4,Apol9a
APOL4,Apol7c
APOL4,Apol11b
APOL4,Apol10a
APOL4,Apol11a
APOL4,Apol7a
APOL4,Apol7b
SNX1,Snx1
CACNG4,Cacng4
COLGALT1,Colgalt1
SIDT1,Sidt1
HP1BP3,Hp1bp3
NUP35,Gm4353
NUP35,Nup35
SEPHS1,Sephs1
NSMCE2,Nsmce2
CCNO,Ccno
SFMBT1,Sfmbt1
GLRA3,Glra3
ABCB9,Abcb9
NPHS1,Nphs1
UQCRC1,Uqcrc1
TRAV9-2,Trav6n-7
TRAV9-2,Trav6d-6
TRAV9-2,Trav6-4
TRAV9-2,Trav6-6
TRAV9-2,Trav6d-4
TRAV9-2,Trav6-1
TRAV9-2,Trav6n-6
TRAV9-2,Trav6-7-dv9
TRAV9-2,Trav6d-3
TRAV9-2,Trav6d-7
TRAV9-2,Trav6-2
TRAV9-2,Trav6-3
ECSCR,Ecscr
KCNJ12,Kcnj12
VN1R4,Vmn1r233
VN1R4,Vmn1r234
VN1R4,Vmn1r235
VN1R4,Vmn1r236
VN1R4,Vmn1r237
OLFML3,Olfml3
TRAV4,Trav2
COMMD2,Commd2
FGF13,Fgf13
ZNF665,Zfp160
TMEM145,Tmem145
NEUROG3,Neurog3
GRB2,Grb2
NDUFS6,Ndufs6
RPL41,Gm10076
ACCSL,Accsl
LINC00633,Etd
STPG2,Stpg2
FBXL12,Fbxl12
CCDC126,Ccdc126
ZPBP2,Zpbp2
AGPAT4,Agpat4
PUM3,Pum3
MGAT4D,Mgat4d
TM4SF4,Tm4sf4
DPP9,Dpp9
ZNF281,Zfp281
LHFPL5,Lhfpl5
CAPZB,Capzb
SRPK1,Srpk1
TMOD1,Tmod1
ADRB1,Adrb1
AGO2,Ago2
ACSL6,Acsl6
XBP1,Xbp1
OTOP1,Otop1
ACP5,Acp5
NTNG2,Ntng2
KCNV2,Kcnv2
EDARADD,Edaradd
BEND4,Bend4
CNOT6,Cnot6
L3MBTL3,L3mbtl3
MSS51,Mss51
KCNH1,Kcnh1
UCMA,Ucma
CEP85L,Cep85l
MAP2,Map2
TYW1B,Tyw1
TMEM106A,Tmem106a
TMEM128,Tmem128
RBP7,Rbp7
GINS2,Gins2
TSTD2,Tstd2
PRPF8,Prpf8
FAM189A1,Fam189a1
CCDC186,Ccdc186
GHITM,Ghitm
RBFOX2,Rbfox2
FGF4,Fgf4
NSMCE3,1700020D05Rik
F2R,F2r
HNRNPR,Hnrnpr
ALPP,Akp3
ALPP,Alppl2
ALPP,Alpi
F2RL2,F2rl2
OASL,Oasl1
DDX20,Ddx20
LINC00854,Gm11634
GPD1L,Gpd1l
CDHR2,Cdhr2
YTHDF2,Ythdf2
ANKRD45,Ankrd45
TCTN3,Tctn3
ELAVL1,Elavl1
SENP5,Senp5
PLN,Pln
HSPB1,Hspb1
PGLYRP2,Pglyrp2
POC1A,Poc1a
FGF3,Fgf3
CDY1,Cdyl
AMER2,Amer2
ADORA3,Adora3
SEMA3D,Sema3d
SCGB3A1,Scgb3a1
BRK1,Brk1
RAP1A,Rap1a
ABCC1,Abcc1
GALNT11,Galnt11
UBQLN4,Ubqln4
ZC3H10,Zc3h10
RFK,Rfk
PPP1R8,Ppp1r8
SLC16A1,Slc16a1
NUP88,Nup88
PDIA4,Pdia4
IRF2BPL,Irf2bpl
PTPRR,Ptprr
ESYT1,Esyt1
SHISA3,Shisa3
STUB1,Stub1
PHYH,Phyh
UBE4B,Ube4b
RAP1GDS1,Rap1gds1
PER2,Per2
FAM212B,Fam212b
SH2D5,Sh2d5
ADAMTS20,Adamts20
ACCS,Accs
ROMO1,Romo1
CYP4F22,Cyp4f39
TMIGD3,Tmigd3
GPRIN1,Gprin1
ZNF786,Zfp786
LRRC6,Lrrc6
UQCRFS1,Uqcrfs1
GK2,Gk2
C5orf15,9530068E07Rik
LSS,Lss
TROAP,Troap
OR5D16,Olfr1155
SRSF11,Srsf11
NAA11,Gm16286
NAA11,Naa11
MTA1,Mta1
SLC6A20,Slc6a20a
SLC6A20,Slc6a20b
NDUFA12,Ndufa12
KIAA0391,1110008L16Rik
DNMT1,Dnmt1
S1PR2,S1pr2
CD22,Cd22
ST3GAL5,St3gal5
KLF1,Klf1
SLC25A47,Slc25a47
PILRA,Pilrb2
PILRA,Pilra
PILRA,Pilrb1
FGF1,Fgf1
KCNH2,Kcnh2
MRPL23,Mrpl23
COX16,Cox16
HHLA1,Hhla1
CD72,Cd72
RPS5,Rps5
KIAA0100,2610507B11Rik
MAPK6,Mapk6
SAYSD1,Saysd1
CACHD1,Cachd1
LETM2,Letm2
SYT4,Syt4
NADSYN1,Nadsyn1
PIWIL4,Piwil4
PUM1,Pum1
FAM160B1,Fam160b1
OAS3,Oas3
FSTL4,Fstl4
ADAM11,Adam11
MIER2,Mier2
C19orf25,2310011J03Rik
MTR,Mtr
VPS4B,Vps4b
MRPS15,Mrps15
S100A11,S100a11
SLC3A1,Slc3a1
GNG5,Gng5
TMX2,Tmx2
SNX14,Snx14
SEC62,Sec62
ARL6IP5,Arl6ip5
SURF4,Surf4
ELP3,Elp3
MTERF3,Mterf3
ACTR1A,Actr1a
ADCK5,Adck5
ATP5H,Gm10250
ATP5H,Atp5h
LOXL2,Loxl2
CDR2L,Cdr2l
METTL2B,Mettl2
CSH2,Gh
DDX18,Ddx18
BTBD8,Gm42669
BTBD8,A830010M20Rik
KDM6A,Kdm6a
KMT2A,Kmt2a
TFB1M,Tfb1m
CAPN5,Capn5
PRDM15,Prdm15
FBXL15,Fbxl15
BLOC1S1,Bloc1s1
PRDX5,Prdx5
SYCE3,Syce3
CD3E,Cd3e
SCN2B,Scn2b
PRAMEF33,AC133095.2
PRAMEF33,AC140325.2
PRAMEF33,Pramef25
PRAMEF33,Gm13040
PRAMEF33,Pramef12
PRAMEF33,C87499
PRAMEF33,A430089I19Rik
PRAMEF33,Gm12800
PRAMEF33,AC133095.1
PRAMEF33,Oog4
PRAMEF33,Gm12790
PRAMEF33,AC140325.3
PRAMEF33,AC140365.1
PRAMEF33,Pramel7
PRAMEF33,Gm13089
PRAMEF33,BC061212
PRAMEF33,E330014E10Rik
PRAMEF33,Gm10436
PRAMEF33,AC123873.2
PRAMEF33,AC125178.2
PRAMEF33,AC163611.2
PRAMEF33,AC140325.1
PRAMEF33,Gm13088
PRAMEF33,Gm3259
PRAMEF33,Gm16429
PRAMEF33,Oog3
PRAMEF33,Pramel4
PRAMEF33,D5Ertd577e
PRAMEF33,Gm6509
PRAMEF33,Gm13101
PRAMEF33,Gm13043
PRAMEF33,Gm10424
PRAMEF33,Gm13102
PRAMEF33,Pramef17
PRAMEF33,AC165294.2
PRAMEF33,AC125178.1
PRAMEF33,Gm13125
PRAMEF33,Gm3147
PRAMEF33,Gm12794
PRAMEF33,Gm7942
PRAMEF33,Pramel6
PRAMEF33,Gm7982
PRAMEF33,Gm16427
PRAMEF33,AC140325.4
PRAMEF33,Oog1
PRAMEF33,AC124606.2
PRAMEF33,C87977
PRAMEF33,Gm6367
PRAMEF33,Gm6502
PRAMEF33,AC123873.3
PRAMEF33,Pramel5
PRAMEF33,Pramel1
PRAMEF33,Gm7971
PRAMEF33,Pramef8
PRAMEF33,Pramef6
PRAMEF33,AC124606.1
PRAMEF33,Gm3183
PRAMEF33,AC163611.1
PRAMEF33,Gm13103
PRAMEF33,Gm16367
PRAMEF33,AC125178.3
PRAMEF33,Gm3286
PRAMEF33,BC080695
PRAMEF33,Gm13057
PRAMEF33,B020004J07Rik
PRAMEF33,Gm13128
PRAMEF33,C130073F10Rik
PRAMEF33,Oog2
PRAMEF33,Gm6205
PRAMEF33,AC123873.1
PRAMEF33,Gm13023
PRAMEF33,Gm2042
PRAMEF33,Gm13084
PRAMEF33,Gm13078
PRAMEF33,Gm16513
PRAMEF33,AC165294.1
PRAMEF33,C87414
PRAMEF33,Gm6351
PRAMEF33,Gm7978
PRAMEF33,Gm13083
PIK3R2,Pik3r2
UBE2G1,Ube2g1
KCNK4,Kcnk4
COPS8,Cops8
INPP4A,Inpp4a
TNNT1,Tnnt1
HOXD9,Hoxd9
OGFRL1,Ogfrl1
TMEM169,Tmem169
SRCIN1,Srcin1
PSME3,Psme3
BUD13,Bud13
PSME4,Psme4
CDH18,Cdh18
TEX28,Tex28
UVRAG,Uvrag
CITED2,Cited2
OPLAH,Oplah
RPL36,Gm8888
RPL36,Rpl36-ps4
SOD2,Sod2
KIR2DS4,Kir3dl2
KIR2DS4,Kir3dl1
BMPR2,Bmpr2
CYTH4,Cyth4
BICD2,Bicd2
RP11-432M8.9,Taf11
RP11-432M8.22,Taf11
HTR3B,Htr3b
LIMS3,Lims1
C10orf90,D7Ertd443e
NOL9,Nol9
ZFAT,Zfat
PPP1R9B,Ppp1r9b
ANKK1,Ankk1
DKKL1,Dkkl1
C5orf52,4921536K21Rik
TGFBR3,Tgfbr3
TEAD2,Tead2
POLE2,Pole2
KANSL1,Kansl1
TIA1,Tia1
LAMB1,Lamb1
ALDH3B2,Aldh3b1
ALDH3B2,Aldh3b2
ALDH3B2,Aldh3b3
SMDT1,Smdt1
WASHC2A,Washc2
RAMP2,Ramp2
CPS1,Cps1
RGS17,Rgs17
OR5A1,Olfr76
OR5A2,Olfr1438-ps1
FAM26D,Fam26d
OVOL1,Ovol1
EPS8,Eps8
MANEAL,Maneal
ZBTB4,Zbtb4
MAP7D2,Map7d2
WDR55,Wdr55
CD74,Cd74
FMNL3,Fmnl3
INSM2,Insm2
DND1,Dnd1
TCP11X2,Tcp11x2
PDE1B,Pde1b
TIMM23B,Timm23
TIMM23B,Gm10273
PIGG,Pigg
OGDHL,Ogdhl
GSTA5,Gsta3
PPP1R3B,Ppp1r3b
PLCG1,Plcg1
IGFBPL1,Igfbpl1
GNB2,Gnb2
TRBV29-1,Trbv30
CYP7A1,Cyp7a1
COLEC10,Colec10
AIMP1,Aimp1
KDM7A,Kdm7a
GSTP1,Gstp2
GSTP1,Gstp1
MSH5-SAPCD1,Msh5
RP11-108O10.8,Alg9
NRIP3,Nrip3
LDHD,Ldhd
STX5,Stx5a
OR9Q2,Olfr1497
FBXO5,Fbxo5
PARP12,Parp12
NACA2,Naca
KRT17,Krt17
THOP1,Thop1
HNRNPA2B1,Hnrnpa2b1
RBBP8NL,Rbbp8nl
B3GNT3,B3gnt3
ZFAND4,Zfand4
SAFB2,Safb2
